spotify_id,song_name,artist_name
4lQXlqgD09JrGdphtODwpB,"Старый отель",Bravo
12ELzrXluYapL20Uxqb45o,"Этот город",Bravo
2mo4W9RlL9I7fhFuvDRdP3,"Ты рядом",Geegun
6qFpn2alCGtSGHCC09dgco,"Маршрутка",IOWA
712K8qe0DjDKMtegKYPYI6,"Улыбайся",IOWA
7tjVRlo5QYUpPOocaJb387,"Пачка сигарет",Kino
0u6SJZRhC1KSguPxLACkt9,"Спокойная ночь",Kino
7fss5WF5vuXRHvMsYRQXQH,"Темная ночь","Mark Bernes"
7bQHty20BhXNYgvFfp2jgW,"Где твоя любовь?","Max Korzh"
2m3PVx1gsVB5upxi94IW8I,"Жить в кайф","Max Korzh"
5rwsJbBNa8SfPW4oFA1GjP,"I Got Love",Miyagi
1SHB1hp6267UK9bJQUxYvO,"Судно","Molchat Doma"
5bkfPKnHLi6AUP3fJA5Xf5,"Вселенная бесконечна?","Noize MC"
5a8aSgJQmTJXrnAcEa1Kqv,"Прованс","Ёлка"
6hZKMAiaIepVtAtgFKm4xt,"Миллион алых роз","Алла Пугачёва"
4hpEs4S57UaWS4IF2sm5yJ,"Позови меня с собой","Алла Пугачёва"
3k694So9yoYZu2WHLTNIqU,"Надежда","Анна Герман"
5Tct3O04Ozldk840VvjOPE,"Выпускной","Баста"
2pSfzuZd81zBaOA2LOKbdX,"Сансара","Баста"
3XoFQdFLGM1vBsFeP621DA,"Варвара","Би-2"
24LuZI9xa1qH0rbhf4i6HA,"Полковнику никто не пишет","Би-2"
3H9TfxhAc9qVix9zff83JF,"Имя 505","Время и Стекло"
1j5Cqb6DiVS8YP2cL0NMkJ,"Невозможное возможно","Дима Билан"
1I5Y2sFwKJam9qkyegiWLG,"До скорой встречи","Звери"
46Y9Jp57brIX3pqfN7zd8W,"Районы-кварталы","Звери"
7HBr5OwIsHxKfcD5tmsWxl,"Трава у дома","Земляне"
5NqhAFTgPTsxhm7kDhfVCw,"Вокруг шум","Каста"
4iRg9tHDgmRPvv56IC46Pl,"Группа Крови — Кино","Кино"
42m8JlHpUgaTkkQSqTnEoH,"Звезда по имени Солнце","Кино"
1SCwVUbxOrqU7NADHm7x7j,"Кукушка","Кино"
4bKw3g8eDSbrwPFOsbmPYO,"Знаешь ли ты","МакSим"
7f6ALwMTMLAhXCfoHYLCsx,"Горы по колено","Макс Корж"
2Rb0yD850QSpxXguuPH7pa,"Тёмная ночь","Марк Бернес"
3kR987BLqTW75iaRlQ8Woh,"Зеленоглазое такси","Михаил Боярский"
4IjiY0sShCYUEEoOSEwsgY,"Каждый раз","Монеточка"
1wTrFYYtquLQqtf6O432Q8,"Лучший город Земли","Муслим Магомаев"
0mOA86xnvtUwXotaIuM9E6,"Я хочу быть с тобой","Наутилус Помпилиус"
4Dmthut5u5MlsPR1ZelAGg,"Крошка моя","Руки Вверх!"
5eGeIWhWdLFlbCiuROoFwD,"Выхода нет","Сплин"
06vtYdnH8J9ItrbEc75YcI,"Романс","Сплин"
2NUGpsyBl6gUVNiGFn7Kmk,"Зима","Эдуард Хиль"
43tz6W0EXDiAxLyg1doaku,"Крыша дома твоего","Юрий Антонов"
